date,dish,feedback,sentiment,rating,votes
2023-06-09,Idli Sambar,best meal this week,Positive,5,62
2023-06-09,Fried Rice,acceptable quality,Neutral,3,111
2023-06-10,Curd Rice,paneer was delicious,Positive,5,42
2023-06-10,Fried Rice,acceptable quality,Neutral,3,52
2023-06-10,Rajma Rice,very tasty and fresh,Positive,5,49
2023-06-10,Poha,worst meal this month,Negative,1,86
2023-06-10,Khichdi,food was okay,Neutral,3,81
2023-06-11,Chole Bhature,paneer was delicious,Positive,5,12
2023-06-11,Curd Rice,very tasty and fresh,Positive,4,53
2023-06-11,Rajma Rice,rice was overcooked,Negative,1,38
2023-06-11,Paratha,very bad quality today,Negative,1,47
2023-06-11,Biryani,dal was undercooked,Negative,1,94
2023-06-12,Rajma Rice,very tasty and fresh,Positive,4,102
2023-06-12,Paneer Butter Masala,paneer was delicious,Positive,5,96
2023-06-12,Paratha,decent meal,Neutral,3,106
2023-06-12,Khichdi,decent meal,Neutral,3,78
2023-06-12,Chole Bhature,great taste today,Positive,4,57
2023-06-13,Curd Rice,could be better,Neutral,3,30
2023-06-13,Paneer Butter Masala,very bad quality today,Negative,2,16
2023-06-13,Roti Sabzi,nothing special today,Neutral,3,101
2023-06-13,Fried Rice,dal was undercooked,Negative,2,20
2023-06-13,Dal Rice,nothing special today,Neutral,3,75
2023-06-14,Paratha,food was too salty,Negative,2,16
2023-06-14,Chole Bhature,really enjoyed the food,Positive,4,59
2023-06-14,Poha,not fresh at all,Negative,1,13
2023-06-14,Upma,loved the biryani!,Positive,5,111
2023-06-14,Roti Sabzi,food was amazing today!,Positive,5,116
2023-06-15,Roti Sabzi,food was okay,Neutral,3,42
2023-06-15,Khichdi,very tasty and fresh,Positive,5,24
2023-06-15,Paratha,average as usual,Neutral,3,25
2023-06-15,Fried Rice,paneer was delicious,Positive,5,18
2023-06-15,Paneer Butter Masala,great taste today,Positive,4,90
2023-06-16,Biryani,really enjoyed the food,Positive,4,83
2023-06-16,Paneer Butter Masala,loved the biryani!,Positive,5,18
2023-06-16,Upma,food was too salty,Negative,2,70
2023-06-16,Paratha,paneer was delicious,Positive,5,42
2023-06-16,Dal Rice,nothing special today,Neutral,3,54
2023-06-17,Upma,really enjoyed the food,Positive,5,114
2023-06-17,Khichdi,acceptable quality,Neutral,3,99
2023-06-17,Curd Rice,very tasty and fresh,Positive,4,18
2023-06-17,Poha,decent meal,Neutral,3,47
2023-06-17,Rajma Rice,excellent quality today,Positive,4,50
2023-06-18,Dal Rice,excellent quality today,Positive,5,55
2023-06-18,Biryani,food was too salty,Negative,2,44
2023-06-18,Chole Bhature,really enjoyed the food,Positive,5,61
2023-06-18,Khichdi,decent meal,Neutral,3,33
2023-06-18,Roti Sabzi,great taste today,Positive,5,112
2023-06-19,Biryani,very tasty and fresh,Positive,5,51
2023-06-19,Dal Rice,really enjoyed the food,Positive,5,49
2023-06-19,Poha,paneer was delicious,Positive,4,98
2023-06-19,Chole Bhature,great taste today,Positive,4,103
2023-06-19,Curd Rice,not fresh at all,Negative,2,45
2023-06-20,Curd Rice,very tasty and fresh,Positive,4,28
2023-06-20,Idli Sambar,rice was overcooked,Negative,1,26
2023-06-20,Poha,really enjoyed the food,Positive,5,59
2023-06-20,Chole Bhature,food was too salty,Negative,1,96
2023-06-20,Rajma Rice,really enjoyed the food,Positive,5,66
2023-06-21,Fried Rice,really enjoyed the food,Positive,5,41
2023-06-21,Poha,food was too salty,Negative,1,73
2023-06-21,Paneer Butter Masala,loved the biryani!,Positive,5,109
2023-06-21,Paratha,great taste today,Positive,4,88
2023-06-21,Biryani,great taste today,Positive,4,25
2023-06-22,Paratha,not fresh at all,Negative,2,100
2023-06-22,Poha,best meal this week,Positive,5,118
2023-06-22,Roti Sabzi,very tasty and fresh,Positive,5,75
2023-06-22,Fried Rice,excellent quality today,Positive,4,40
2023-06-22,Curd Rice,food was okay,Neutral,3,80
2023-06-23,Paneer Butter Masala,food was okay,Neutral,3,49
2023-06-23,Rajma Rice,great taste today,Positive,5,108
2023-06-23,Roti Sabzi,loved the biryani!,Positive,4,50
2023-06-23,Biryani,decent meal,Neutral,3,97
2023-06-23,Paratha,very tasty and fresh,Positive,4,108
2023-06-24,Paratha,best meal this week,Positive,4,30
2023-06-24,Chole Bhature,excellent quality today,Positive,5,76
2023-06-24,Biryani,dal was undercooked,Negative,2,35
2023-06-24,Idli Sambar,could be better,Neutral,3,26
2023-06-24,Poha,could be better,Neutral,3,74
2023-06-25,Curd Rice,really enjoyed the food,Positive,4,115
2023-06-25,Paratha,dal was undercooked,Negative,1,92
2023-06-25,Paneer Butter Masala,nothing special today,Neutral,3,108
2023-06-25,Fried Rice,could be better,Neutral,3,73
2023-06-25,Khichdi,cold food served again,Negative,2,71
2023-06-26,Upma,food was amazing today!,Positive,4,66
2023-06-26,Curd Rice,great taste today,Positive,4,53
2023-06-26,Chole Bhature,nothing special today,Neutral,3,103
2023-06-26,Dal Rice,not fresh at all,Negative,2,26
2023-06-26,Roti Sabzi,could be better,Neutral,3,50
2023-06-27,Upma,loved the biryani!,Positive,4,47
2023-06-27,Roti Sabzi,worst meal this month,Negative,1,120
2023-06-27,Poha,not fresh at all,Negative,2,34
2023-06-27,Dal Rice,decent meal,Neutral,3,73
2023-06-27,Khichdi,rice was overcooked,Negative,1,21
2023-06-28,Chole Bhature,food was okay,Neutral,3,46
2023-06-28,Biryani,great taste today,Positive,5,78
2023-06-28,Roti Sabzi,loved the biryani!,Positive,5,27
2023-06-28,Upma,not fresh at all,Negative,2,56
2023-06-28,Paneer Butter Masala,food was amazing today!,Positive,4,56
2023-06-29,Biryani,best meal this week,Positive,4,26
2023-06-29,Dal Rice,worst meal this month,Negative,2,111
2023-06-29,Poha,not fresh at all,Negative,1,35
2023-06-29,Chole Bhature,decent meal,Neutral,3,15
2023-06-29,Fried Rice,really enjoyed the food,Positive,5,76
2023-06-30,Roti Sabzi,really enjoyed the food,Positive,4,60
2023-06-30,Paratha,cold food served again,Negative,2,74
2023-06-30,Paneer Butter Masala,rice was overcooked,Negative,2,70
2023-06-30,Biryani,not fresh at all,Negative,2,96
2023-06-30,Khichdi,paneer was delicious,Positive,5,111
2023-07-01,Khichdi,excellent quality today,Positive,4,84
2023-07-01,Fried Rice,paneer was delicious,Positive,4,115
2023-07-01,Curd Rice,food was okay,Neutral,3,34
2023-07-01,Idli Sambar,really enjoyed the food,Positive,5,29
2023-07-01,Roti Sabzi,excellent quality today,Positive,5,74
2023-07-02,Fried Rice,really enjoyed the food,Positive,5,77
2023-07-02,Paneer Butter Masala,very tasty and fresh,Positive,5,78
2023-07-02,Roti Sabzi,really enjoyed the food,Positive,5,88
2023-07-02,Idli Sambar,excellent quality today,Positive,5,81
2023-07-02,Paratha,best meal this week,Positive,5,100
2023-07-03,Upma,best meal this week,Positive,5,25
2023-07-03,Khichdi,could be better,Neutral,3,60
2023-07-03,Roti Sabzi,very bad quality today,Negative,2,15
2023-07-03,Rajma Rice,loved the biryani!,Positive,5,66
2023-07-03,Curd Rice,acceptable quality,Neutral,3,37
2023-07-04,Upma,excellent quality today,Positive,4,16
2023-07-04,Biryani,could be better,Neutral,3,91
2023-07-04,Dal Rice,loved the biryani!,Positive,5,52
2023-07-04,Khichdi,food was okay,Neutral,3,10
2023-07-04,Curd Rice,very bad quality today,Negative,2,93
2023-07-05,Roti Sabzi,food was amazing today!,Positive,4,93
2023-07-05,Fried Rice,could be better,Neutral,3,32
2023-07-05,Curd Rice,very tasty and fresh,Positive,4,117
2023-07-05,Upma,great taste today,Positive,4,105
2023-07-05,Dal Rice,cold food served again,Negative,1,11
2023-07-06,Dal Rice,great taste today,Positive,4,118
2023-07-06,Paneer Butter Masala,best meal this week,Positive,4,113
2023-07-06,Khichdi,very tasty and fresh,Positive,5,92
2023-07-06,Poha,very tasty and fresh,Positive,4,104
2023-07-06,Rajma Rice,best meal this week,Positive,4,32
2023-07-07,Paneer Butter Masala,paneer was delicious,Positive,4,33
2023-07-07,Curd Rice,rice was overcooked,Negative,2,41
2023-07-07,Chole Bhature,paneer was delicious,Positive,4,67
2023-07-07,Khichdi,nothing special today,Neutral,3,84
2023-07-07,Biryani,food was okay,Neutral,3,93
2023-07-08,Rajma Rice,very tasty and fresh,Positive,5,97
2023-07-08,Khichdi,best meal this week,Positive,4,91
2023-07-08,Upma,cold food served again,Negative,2,88
2023-07-08,Idli Sambar,very tasty and fresh,Positive,5,29
2023-07-08,Poha,really enjoyed the food,Positive,5,99
2023-07-09,Biryani,could be better,Neutral,3,77
2023-07-09,Roti Sabzi,really enjoyed the food,Positive,4,82
2023-07-09,Fried Rice,excellent quality today,Positive,4,31
2023-07-09,Upma,great taste today,Positive,4,97
2023-07-09,Paneer Butter Masala,great taste today,Positive,4,75
2023-07-10,Roti Sabzi,food was amazing today!,Positive,5,96
2023-07-10,Idli Sambar,food was too salty,Negative,2,42
2023-07-10,Fried Rice,tasteless food,Negative,1,15
2023-07-10,Paratha,loved the biryani!,Positive,4,18
2023-07-10,Biryani,rice was overcooked,Negative,1,46
2023-07-11,Chole Bhature,worst meal this month,Negative,2,58
2023-07-11,Paratha,very tasty and fresh,Positive,5,25
2023-07-11,Khichdi,paneer was delicious,Positive,4,103
2023-07-11,Fried Rice,food was too salty,Negative,1,48
2023-07-11,Rajma Rice,paneer was delicious,Positive,5,115
2023-07-12,Upma,loved the biryani!,Positive,4,113
2023-07-12,Fried Rice,could be better,Neutral,3,40
2023-07-12,Roti Sabzi,loved the biryani!,Positive,4,67
2023-07-12,Rajma Rice,acceptable quality,Neutral,3,41
2023-07-12,Paratha,decent meal,Neutral,3,39
2023-07-13,Biryani,tasteless food,Negative,2,83
2023-07-13,Upma,acceptable quality,Neutral,3,40
2023-07-13,Idli Sambar,very tasty and fresh,Positive,4,62
2023-07-13,Paratha,food was amazing today!,Positive,4,90
2023-07-13,Fried Rice,could be better,Neutral,3,16
2023-07-14,Rajma Rice,paneer was delicious,Positive,5,29
2023-07-14,Curd Rice,very tasty and fresh,Positive,5,40
2023-07-14,Khichdi,cold food served again,Negative,1,113
2023-07-14,Chole Bhature,food was amazing today!,Positive,5,63
2023-07-14,Biryani,average as usual,Neutral,3,41
2023-07-15,Dal Rice,dal was undercooked,Negative,1,16
2023-07-15,Upma,food was amazing today!,Positive,4,34
2023-07-15,Rajma Rice,tasteless food,Negative,2,36
2023-07-15,Poha,not fresh at all,Negative,2,11
2023-07-15,Roti Sabzi,excellent quality today,Positive,4,105
2023-07-16,Fried Rice,excellent quality today,Positive,5,109
2023-07-16,Roti Sabzi,great taste today,Positive,5,49
2023-07-16,Upma,great taste today,Positive,5,22
2023-07-16,Paneer Butter Masala,rice was overcooked,Negative,2,36
2023-07-16,Curd Rice,paneer was delicious,Positive,4,82
2023-07-17,Upma,could be better,Neutral,3,47
2023-07-17,Khichdi,really enjoyed the food,Positive,4,58
2023-07-17,Paratha,average as usual,Neutral,3,80
2023-07-17,Idli Sambar,acceptable quality,Neutral,3,42
2023-07-17,Dal Rice,decent meal,Neutral,3,68
2023-07-18,Paratha,decent meal,Neutral,3,79
2023-07-18,Khichdi,food was too salty,Negative,1,117
2023-07-18,Rajma Rice,food was too salty,Negative,1,62
2023-07-18,Fried Rice,excellent quality today,Positive,4,100
2023-07-18,Paneer Butter Masala,excellent quality today,Positive,5,57
2023-07-19,Idli Sambar,food was okay,Neutral,3,78
2023-07-19,Paneer Butter Masala,food was okay,Neutral,3,77
2023-07-19,Curd Rice,could be better,Neutral,3,12
2023-07-19,Khichdi,paneer was delicious,Positive,4,23
2023-07-19,Roti Sabzi,very bad quality today,Negative,1,34
2023-07-20,Paneer Butter Masala,food was okay,Neutral,3,61
2023-07-20,Biryani,excellent quality today,Positive,4,48
2023-07-20,Dal Rice,food was okay,Neutral,3,21
2023-07-20,Rajma Rice,paneer was delicious,Positive,5,17
2023-07-20,Curd Rice,acceptable quality,Neutral,3,20
2023-07-21,Roti Sabzi,food was too salty,Negative,1,37
2023-07-21,Chole Bhature,rice was overcooked,Negative,2,15
2023-07-21,Curd Rice,cold food served again,Negative,1,32
2023-07-21,Rajma Rice,not fresh at all,Negative,1,36
2023-07-21,Poha,acceptable quality,Neutral,3,19
2023-07-22,Dal Rice,could be better,Neutral,3,59
2023-07-22,Paratha,average as usual,Neutral,3,74
2023-07-22,Paneer Butter Masala,nothing special today,Neutral,3,22
2023-07-22,Upma,loved the biryani!,Positive,5,87
2023-07-22,Chole Bhature,could be better,Neutral,3,109
2023-07-23,Rajma Rice,really enjoyed the food,Positive,5,65
2023-07-23,Idli Sambar,paneer was delicious,Positive,4,108
2023-07-23,Curd Rice,average as usual,Neutral,3,20
2023-07-23,Dal Rice,paneer was delicious,Positive,4,104
2023-07-23,Roti Sabzi,really enjoyed the food,Positive,4,21
2023-07-24,Idli Sambar,loved the biryani!,Positive,4,65
2023-07-24,Dal Rice,paneer was delicious,Positive,4,13
2023-07-24,Roti Sabzi,loved the biryani!,Positive,5,120
2023-07-24,Rajma Rice,best meal this week,Positive,5,59
2023-07-24,Khichdi,acceptable quality,Neutral,3,83
2023-07-25,Biryani,best meal this week,Positive,5,73
2023-07-25,Paratha,very tasty and fresh,Positive,5,45
2023-07-25,Curd Rice,great taste today,Positive,4,56
2023-07-25,Chole Bhature,excellent quality today,Positive,5,86
2023-07-25,Khichdi,decent meal,Neutral,3,27
2023-07-26,Dal Rice,not fresh at all,Negative,2,52
2023-07-26,Idli Sambar,very tasty and fresh,Positive,5,51
2023-07-26,Chole Bhature,acceptable quality,Neutral,3,71
2023-07-26,Rajma Rice,paneer was delicious,Positive,5,47
2023-07-26,Curd Rice,acceptable quality,Neutral,3,83
2023-07-27,Fried Rice,worst meal this month,Negative,2,24
2023-07-27,Upma,tasteless food,Negative,1,97
2023-07-27,Rajma Rice,food was okay,Neutral,3,100
2023-07-27,Chole Bhature,best meal this week,Positive,4,114
2023-07-27,Dal Rice,worst meal this month,Negative,2,27
2023-07-28,Curd Rice,decent meal,Neutral,3,67
2023-07-28,Dal Rice,rice was overcooked,Negative,2,78
2023-07-28,Upma,paneer was delicious,Positive,4,111
2023-07-28,Khichdi,dal was undercooked,Negative,1,108
2023-07-28,Paratha,really enjoyed the food,Positive,4,92
2023-07-29,Paneer Butter Masala,worst meal this month,Negative,1,11
2023-07-29,Idli Sambar,excellent quality today,Positive,4,67
2023-07-29,Fried Rice,great taste today,Positive,4,54
2023-07-29,Chole Bhature,rice was overcooked,Negative,1,47
2023-07-29,Rajma Rice,loved the biryani!,Positive,4,116
2023-07-30,Khichdi,excellent quality today,Positive,5,54
2023-07-30,Paratha,great taste today,Positive,5,50
2023-07-30,Rajma Rice,food was amazing today!,Positive,4,12
2023-07-30,Dal Rice,dal was undercooked,Negative,1,104
2023-07-30,Curd Rice,very tasty and fresh,Positive,4,52
2023-07-31,Biryani,average as usual,Neutral,3,60
2023-07-31,Chole Bhature,excellent quality today,Positive,5,85
2023-07-31,Roti Sabzi,food was amazing today!,Positive,4,36
2023-07-31,Upma,loved the biryani!,Positive,4,112
2023-07-31,Khichdi,very bad quality today,Negative,2,51
2023-08-01,Upma,really enjoyed the food,Positive,5,88
2023-08-01,Roti Sabzi,loved the biryani!,Positive,5,55
2023-08-01,Poha,very bad quality today,Negative,2,88
2023-08-01,Dal Rice,acceptable quality,Neutral,3,50
2023-08-01,Khichdi,best meal this week,Positive,4,33
2023-08-02,Rajma Rice,very tasty and fresh,Positive,5,64
2023-08-02,Khichdi,very tasty and fresh,Positive,4,72
2023-08-02,Paratha,very tasty and fresh,Positive,5,117
2023-08-02,Biryani,food was amazing today!,Positive,5,11
2023-08-02,Chole Bhature,excellent quality today,Positive,5,81
2023-08-03,Biryani,great taste today,Positive,5,31
2023-08-03,Curd Rice,food was amazing today!,Positive,4,47
2023-08-03,Roti Sabzi,excellent quality today,Positive,5,31
2023-08-03,Chole Bhature,could be better,Neutral,3,80
2023-08-03,Khichdi,loved the biryani!,Positive,5,109
2023-08-04,Biryani,paneer was delicious,Positive,4,104
2023-08-04,Rajma Rice,tasteless food,Negative,2,14
2023-08-04,Fried Rice,really enjoyed the food,Positive,4,66
2023-08-04,Idli Sambar,dal was undercooked,Negative,1,36
2023-08-04,Roti Sabzi,not fresh at all,Negative,2,31
2023-08-05,Paneer Butter Masala,could be better,Neutral,3,86
2023-08-05,Paratha,really enjoyed the food,Positive,5,47
2023-08-05,Upma,could be better,Neutral,3,27
2023-08-05,Curd Rice,worst meal this month,Negative,1,45
2023-08-05,Idli Sambar,very bad quality today,Negative,1,41
2023-08-06,Paratha,best meal this week,Positive,5,58
2023-08-06,Khichdi,loved the biryani!,Positive,5,75
2023-08-06,Rajma Rice,acceptable quality,Neutral,3,68
2023-08-06,Upma,not fresh at all,Negative,1,109
2023-08-06,Chole Bhature,dal was undercooked,Negative,2,91
2023-08-07,Curd Rice,paneer was delicious,Positive,4,73
2023-08-07,Khichdi,best meal this week,Positive,5,80
2023-08-07,Rajma Rice,could be better,Neutral,3,110
2023-08-07,Poha,food was amazing today!,Positive,4,22
2023-08-07,Biryani,decent meal,Neutral,3,25
2023-08-08,Paratha,very tasty and fresh,Positive,5,30
2023-08-08,Roti Sabzi,cold food served again,Negative,1,93
2023-08-08,Khichdi,loved the biryani!,Positive,5,95
2023-08-08,Idli Sambar,very bad quality today,Negative,1,60
2023-08-08,Chole Bhature,acceptable quality,Neutral,3,64
2023-08-09,Curd Rice,very tasty and fresh,Positive,4,76
2023-08-09,Poha,food was okay,Neutral,3,99
2023-08-09,Khichdi,loved the biryani!,Positive,5,98
2023-08-09,Idli Sambar,loved the biryani!,Positive,4,59
2023-08-09,Upma,loved the biryani!,Positive,4,50
2023-08-10,Rajma Rice,acceptable quality,Neutral,3,18
2023-08-10,Dal Rice,food was amazing today!,Positive,4,66
2023-08-10,Paratha,excellent quality today,Positive,4,62
2023-08-10,Chole Bhature,decent meal,Neutral,3,21
2023-08-10,Curd Rice,very bad quality today,Negative,1,85
2023-08-11,Khichdi,average as usual,Neutral,3,92
2023-08-11,Chole Bhature,best meal this week,Positive,4,118
2023-08-11,Rajma Rice,cold food served again,Negative,1,76
2023-08-11,Fried Rice,average as usual,Neutral,3,47
2023-08-11,Curd Rice,average as usual,Neutral,3,59
2023-08-12,Poha,food was amazing today!,Positive,5,50
2023-08-12,Upma,paneer was delicious,Positive,5,79
2023-08-12,Roti Sabzi,decent meal,Neutral,3,12
2023-08-12,Paneer Butter Masala,food was okay,Neutral,3,37
2023-08-12,Fried Rice,food was amazing today!,Positive,5,74
2023-08-13,Dal Rice,food was okay,Neutral,3,45
2023-08-13,Curd Rice,loved the biryani!,Positive,4,113
2023-08-13,Biryani,really enjoyed the food,Positive,5,85
2023-08-13,Chole Bhature,acceptable quality,Neutral,3,49
2023-08-13,Paneer Butter Masala,acceptable quality,Neutral,3,17
2023-08-14,Upma,food was okay,Neutral,3,95
2023-08-14,Poha,acceptable quality,Neutral,3,25
2023-08-14,Chole Bhature,very tasty and fresh,Positive,4,30
2023-08-14,Khichdi,really enjoyed the food,Positive,5,31
2023-08-14,Roti Sabzi,best meal this week,Positive,4,108
2023-08-15,Idli Sambar,loved the biryani!,Positive,5,68
2023-08-15,Rajma Rice,food was amazing today!,Positive,5,119
2023-08-15,Chole Bhature,nothing special today,Neutral,3,42
2023-08-15,Dal Rice,could be better,Neutral,3,39
2023-08-15,Biryani,food was okay,Neutral,3,119
2023-08-16,Idli Sambar,very tasty and fresh,Positive,4,119
2023-08-16,Upma,paneer was delicious,Positive,4,51
2023-08-16,Fried Rice,really enjoyed the food,Positive,5,115
2023-08-16,Roti Sabzi,really enjoyed the food,Positive,4,74
2023-08-16,Rajma Rice,food was okay,Neutral,3,38
2023-08-17,Fried Rice,cold food served again,Negative,2,51
2023-08-17,Biryani,great taste today,Positive,4,57
2023-08-17,Idli Sambar,best meal this week,Positive,4,69
2023-08-17,Chole Bhature,great taste today,Positive,4,103
2023-08-17,Poha,tasteless food,Negative,1,10
2023-08-18,Chole Bhature,acceptable quality,Neutral,3,52
2023-08-18,Idli Sambar,paneer was delicious,Positive,5,23
2023-08-18,Upma,excellent quality today,Positive,5,72
2023-08-18,Biryani,very bad quality today,Negative,2,21
2023-08-18,Rajma Rice,excellent quality today,Positive,5,99
2023-08-19,Rajma Rice,paneer was delicious,Positive,4,85
2023-08-19,Roti Sabzi,decent meal,Neutral,3,40
2023-08-19,Poha,really enjoyed the food,Positive,5,99
2023-08-19,Paneer Butter Masala,not fresh at all,Negative,2,67
2023-08-19,Curd Rice,loved the biryani!,Positive,4,27
2023-08-20,Fried Rice,great taste today,Positive,5,62
2023-08-20,Paneer Butter Masala,really enjoyed the food,Positive,4,67
2023-08-20,Poha,best meal this week,Positive,4,21
2023-08-20,Paratha,best meal this week,Positive,4,37
2023-08-20,Curd Rice,not fresh at all,Negative,1,21
2023-08-21,Khichdi,best meal this week,Positive,5,114
2023-08-21,Upma,food was too salty,Negative,2,119
2023-08-21,Rajma Rice,excellent quality today,Positive,4,69
2023-08-21,Chole Bhature,very tasty and fresh,Positive,4,11
2023-08-21,Biryani,excellent quality today,Positive,4,35
2023-08-22,Chole Bhature,dal was undercooked,Negative,1,18
2023-08-22,Rajma Rice,great taste today,Positive,4,21
2023-08-22,Curd Rice,not fresh at all,Negative,1,15
2023-08-22,Poha,food was too salty,Negative,1,83
2023-08-22,Dal Rice,paneer was delicious,Positive,5,13
2023-08-23,Chole Bhature,very tasty and fresh,Positive,5,45
2023-08-23,Curd Rice,very tasty and fresh,Positive,4,88
2023-08-23,Fried Rice,average as usual,Neutral,3,73
2023-08-23,Paratha,great taste today,Positive,4,21
2023-08-23,Rajma Rice,very tasty and fresh,Positive,5,35
2023-08-24,Curd Rice,not fresh at all,Negative,2,79
2023-08-24,Biryani,nothing special today,Neutral,3,59
2023-08-24,Upma,food was amazing today!,Positive,5,86
2023-08-24,Khichdi,best meal this week,Positive,4,113
2023-08-24,Idli Sambar,not fresh at all,Negative,1,30
2023-08-25,Poha,food was amazing today!,Positive,4,83
2023-08-25,Upma,worst meal this month,Negative,2,117
2023-08-25,Curd Rice,very bad quality today,Negative,1,40
2023-08-25,Khichdi,acceptable quality,Neutral,3,85
2023-08-25,Dal Rice,really enjoyed the food,Positive,4,82
2023-08-26,Upma,loved the biryani!,Positive,4,39
2023-08-26,Roti Sabzi,food was okay,Neutral,3,10
2023-08-26,Biryani,excellent quality today,Positive,4,53
2023-08-26,Dal Rice,nothing special today,Neutral,3,12
2023-08-26,Paratha,very tasty and fresh,Positive,4,118
2023-08-27,Biryani,nothing special today,Neutral,3,51
2023-08-27,Rajma Rice,very tasty and fresh,Positive,5,111
2023-08-27,Poha,decent meal,Neutral,3,32
2023-08-27,Khichdi,could be better,Neutral,3,38
2023-08-27,Chole Bhature,average as usual,Neutral,3,49
2023-08-28,Khichdi,acceptable quality,Neutral,3,118
2023-08-28,Fried Rice,food was too salty,Negative,1,87
2023-08-28,Dal Rice,excellent quality today,Positive,4,73
2023-08-28,Paratha,loved the biryani!,Positive,4,54
2023-08-28,Paneer Butter Masala,very bad quality today,Negative,1,115
2023-08-29,Khichdi,excellent quality today,Positive,4,98
2023-08-29,Curd Rice,best meal this week,Positive,4,102
2023-08-29,Fried Rice,paneer was delicious,Positive,5,103
2023-08-29,Rajma Rice,very tasty and fresh,Positive,5,73
2023-08-29,Roti Sabzi,not fresh at all,Negative,2,22
2023-08-30,Roti Sabzi,food was amazing today!,Positive,5,12
2023-08-30,Paneer Butter Masala,loved the biryani!,Positive,4,53
2023-08-30,Curd Rice,paneer was delicious,Positive,4,103
2023-08-30,Upma,loved the biryani!,Positive,5,86
2023-08-30,Paratha,rice was overcooked,Negative,1,65
2023-08-31,Curd Rice,really enjoyed the food,Positive,4,34
2023-08-31,Paratha,best meal this week,Positive,5,48
2023-08-31,Paneer Butter Masala,food was amazing today!,Positive,5,83
2023-08-31,Chole Bhature,great taste today,Positive,4,16
2023-08-31,Khichdi,paneer was delicious,Positive,4,47
2023-09-01,Curd Rice,excellent quality today,Positive,4,91
2023-09-01,Fried Rice,loved the biryani!,Positive,5,118
2023-09-01,Paneer Butter Masala,paneer was delicious,Positive,5,72
2023-09-01,Roti Sabzi,cold food served again,Negative,1,92
2023-09-01,Upma,very tasty and fresh,Positive,5,58
2023-09-02,Rajma Rice,best meal this week,Positive,4,117
2023-09-02,Paratha,food was amazing today!,Positive,4,106
2023-09-02,Roti Sabzi,food was okay,Neutral,3,95
2023-09-02,Idli Sambar,paneer was delicious,Positive,4,80
2023-09-02,Dal Rice,paneer was delicious,Positive,5,78
2023-09-03,Curd Rice,paneer was delicious,Positive,4,74
2023-09-03,Roti Sabzi,could be better,Neutral,3,25
2023-09-03,Paneer Butter Masala,rice was overcooked,Negative,1,31
2023-09-03,Upma,tasteless food,Negative,1,15
2023-09-03,Khichdi,paneer was delicious,Positive,4,115
2023-09-04,Curd Rice,dal was undercooked,Negative,1,59
2023-09-04,Paratha,could be better,Neutral,3,119
2023-09-04,Paneer Butter Masala,great taste today,Positive,4,110
2023-09-04,Dal Rice,could be better,Neutral,3,24
2023-09-04,Rajma Rice,very tasty and fresh,Positive,4,23
